Image,Labels
../train/cotton_weed\Carpetweeds\Carpetweeds_663.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_664.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_665.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_666.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_667.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_668.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_669.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_670.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_671.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_672.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_673.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_674.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_675.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_676.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_677.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_678.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_679.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_680.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_681.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_682.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_683.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_684.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_685.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_686.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_687.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_688.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_689.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_690.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_691.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_692.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_693.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_694.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_695.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_696.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_697.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_698.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_699.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_700.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_701.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_702.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_703.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_704.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_705.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_706.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_707.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_708.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_709.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_710.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_711.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_712.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_713.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_714.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_715.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_716.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_717.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_718.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_719.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_720.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_721.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_722.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_723.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_724.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_725.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_726.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_727.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_728.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_729.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_730.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_731.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_732.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_733.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_734.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_735.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_736.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_737.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_738.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_739.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_740.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_741.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_742.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_743.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_744.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_745.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_746.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_747.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_748.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_749.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_750.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_751.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_752.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_753.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_754.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_755.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_756.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_757.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_758.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_759.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_760.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_761.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_762.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_763.jpg,Carpetweeds
../train/cotton_weed\Crabgrass\Crabgrass_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_10.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_100.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_101.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_102.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_103.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_104.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_105.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_106.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_107.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_108.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_109.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_11.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_110.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_111.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_12.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_13.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_14.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_15.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_16.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_17.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_18.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_19.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_2.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_20.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_21.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_22.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_23.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_24.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_25.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_26.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_27.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_28.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_29.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_3.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_30.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_31.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_32.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_33.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_34.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_35.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_36.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_37.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_38.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_39.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_4.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_40.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_41.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_42.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_43.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_44.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_45.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_46.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_47.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_48.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_49.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_5.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_50.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_51.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_52.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_53.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_54.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_55.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_56.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_57.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_58.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_59.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_6.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_60.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_61.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_62.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_63.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_64.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_65.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_66.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_67.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_68.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_69.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_7.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_70.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_71.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_72.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_73.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_74.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_75.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_76.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_77.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_78.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_79.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_8.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_80.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_81.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_82.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_83.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_84.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_85.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_86.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_87.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_88.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_89.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_9.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_90.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_91.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_92.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_93.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_94.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_95.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_96.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_97.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_98.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_99.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_10.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_100.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_100_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_101.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_101_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_102.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_102_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_103.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_103_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_104.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_104_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_105.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_105_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_106.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_106_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_107.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_107_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_108.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_108_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_109.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_109_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_10_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_10_2.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_11.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_110.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_110_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_111.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_111_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_112.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_113.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_114.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_115.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_116.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_117.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_118.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_119.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_11_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_11_2.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_12.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_120.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_121.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_122.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_123.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_124.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_125.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_126.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_127.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_128.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_129.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_12_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_12_2.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_13.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_130.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_131.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_132.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_133.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_134.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_135.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_136.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_137.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_138.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_139.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_13_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_13_2.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_14.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_140.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_141.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_142.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_143.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_144.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_145.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_146.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_147.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_148.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_149.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_14_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_14_2.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_15.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_150.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_151.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_152.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_153.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_154.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_155.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_156.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_157.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_158.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_159.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_15_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_15_2.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_16.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_160.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_161.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_162.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_163.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_164.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_165.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_166.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_167.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_168.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_169.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_16_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_16_2.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_17.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_170.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_171.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_172.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_173.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_174.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_175.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_176.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_177.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_178.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_179.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_17_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_17_2.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_18.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_180.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_181.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_182.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_183.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_184.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_185.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_186.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_187.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_188.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_189.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_18_1.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_18_2.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_19.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_190.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_191.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_192.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_193.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_194.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_195.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_196.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_197.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_198.jpg,Crabgrass
../train/cotton_weed\Crabgrass\Crabgrass_augmented_199.jpg,Crabgrass
